request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_216,919.73,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,Waiting preserves the USD 1800 minimum; the full amount is safe on the stated date.
request_217,27662.99,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,This plan keeps at least ZAR 26800 available throughout the 90-day forecast.
request_218,34803579.7,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,This plan keeps at least IDR 34477200 available throughout the 90-day forecast.
request_219,1613.82,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,This plan keeps at least EUR 1100 available throughout the 90-day forecast.
request_220,159.65,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 1100 minimum through the next 90 days.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,This plan keeps at least INR 81500 available throughout the 90-day forecast.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,This plan keeps at least ZAR 27300 available throughout the 90-day forecast.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,This plan keeps at least EUR 800 available throughout the 90-day forecast.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,This plan keeps at least IDR 22187600 available throughout the 90-day forecast.
request_225,15443436.74,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,This plan keeps at least IDR 17670700 available throughout the 90-day forecast.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,This plan keeps at least INR 209400 available throughout the 90-day forecast.
request_227,36795.08,not_affordable,not_recommended,none,,none,No eligible plan protects the INR 62900 minimum through the next 90 days.
request_228,7300744.53,affordable_later,wait,2026-06-15:63327000,2026-06-15,none,Waiting preserves the IDR 26191200 minimum; the full amount is safe on the stated date.
request_229,600.47,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,This plan keeps at least EUR 1000 available throughout the 90-day forecast.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,This plan keeps at least EUR 2000 available throughout the 90-day forecast.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,This plan keeps at least ZAR 24300 available throughout the 90-day forecast.
request_232,1573.79,affordable_later,wait,2024-06-15:1970.1,2024-06-15,none,Waiting preserves the EUR 2400 minimum; the full amount is safe on the stated date.
request_233,0,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 10365700 minimum through the next 90 days.
request_234,428.35,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Waiting preserves the EUR 700 minimum; the full amount is safe on the stated date.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,This plan keeps at least USD 700 available throughout the 90-day forecast.
request_236,12910958.64,not_affordable,not_recommended,none,,none,No eligible plan protects the IDR 16768600 minimum through the next 90 days.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,This plan keeps at least IDR 22431500 available throughout the 90-day forecast.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,This plan keeps at least USD 700 available throughout the 90-day forecast.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,This plan keeps at least USD 600 available throughout the 90-day forecast.
request_240,30639.61,affordable_with_plan,partial_payment,2026-01-06:30639.61|2026-02-15:70560.39,2026-02-15,none,This plan keeps at least INR 52800 available throughout the 90-day forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,This plan keeps at least IDR 19252000 available throughout the 90-day forecast.
request_242,0,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 600 minimum through the next 90 days.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,This plan keeps at least ZAR 19900 available throughout the 90-day forecast.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,This plan keeps at least ZAR 45900 available throughout the 90-day forecast.
request_245,47845.4,affordable_later,wait,2025-11-15:128500,2025-11-15,none,Waiting preserves the INR 94600 minimum; the full amount is safe on the stated date.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,This plan keeps at least ZAR 39300 available throughout the 90-day forecast.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,This plan keeps at least EUR 1300 available throughout the 90-day forecast.
request_248,1414.54,affordable_with_plan,partial_payment,2025-02-07:1414.54|2025-02-15:551.06,2025-02-15,none,This plan keeps at least USD 1300 available throughout the 90-day forecast.
request_249,249.84,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Waiting preserves the USD 600 minimum; the full amount is safe on the stated date.
request_250,26384.83,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 35300 minimum through the next 90 days.
request_251,1513.6,not_affordable,not_recommended,none,,none,No eligible plan protects the EUR 1300 minimum through the next 90 days.
request_252,6990486.2,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Waiting preserves the IDR 15152200 minimum; the full amount is safe on the stated date.
request_253,1864.37,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-15,none,This plan keeps at least EUR 2300 available throughout the 90-day forecast.
request_254,1552.82,affordable_later,wait,2025-08-15:3535.2,2025-08-15,none,Waiting preserves the USD 2500 minimum; the full amount is safe on the stated date.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,This plan keeps at least IDR 9813900 available throughout the 90-day forecast.
request_256,196762.6,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,This plan keeps at least INR 168600 available throughout the 90-day forecast.
request_257,750.76,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Waiting preserves the USD 1600 minimum; the full amount is safe on the stated date.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,This plan keeps at least USD 500 available throughout the 90-day forecast.
request_259,588.57,affordable_later,wait,2024-09-15:935,2024-09-15,none,Waiting preserves the EUR 600 minimum; the full amount is safe on the stated date.
request_260,9708806.88,affordable_with_plan,partial_payment,2025-02-06:9708806.88|2025-04-15:42370193.12,2025-04-15,none,This plan keeps at least IDR 20727700 available throughout the 90-day forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,This plan keeps at least EUR 1500 available throughout the 90-day forecast.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,This plan keeps at least IDR 31018500 available throughout the 90-day forecast.
request_263,9968.52,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 24100 minimum through the next 90 days.
request_264,35556.32,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Waiting preserves the INR 59500 minimum; the full amount is safe on the stated date.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,This plan keeps at least INR 189700 available throughout the 90-day forecast.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,This plan keeps at least EUR 900 available throughout the 90-day forecast.
request_267,1922.77,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,This plan keeps at least EUR 1500 available throughout the 90-day forecast.
request_268,1411.44,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-15,none,This plan keeps at least EUR 1400 available throughout the 90-day forecast.
request_269,0,not_affordable,not_recommended,none,,none,No eligible plan protects the ZAR 23100 minimum through the next 90 days.
request_270,380.99,not_affordable,not_recommended,none,,none,No eligible plan protects the USD 1400 minimum through the next 90 days.
request_271,60992.71,affordable_later,wait,2024-11-20:91300,2024-11-20,none,Waiting preserves the INR 58200 minimum; the full amount is safe on the stated date.
request_272,8078345.91,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,This plan keeps at least IDR 7508600 available throughout the 90-day forecast.
request_273,12133559.84,affordable_with_plan,partial_payment,2026-04-07:12133559.84|2026-04-15:3727440.16,2026-04-15,none,This plan keeps at least IDR 18774600 available throughout the 90-day forecast.
request_274,2577.41,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,This plan keeps at least EUR 1800 available throughout the 90-day forecast.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,This plan keeps at least IDR 12760100 available throughout the 90-day forecast.
